Game.id,Date,Home,Away,pct.bo.H,pct.mo.H,pct.bo.X2,pct.mo.X2,odd.bo.H,odd.mo.H,odd.bo.X2,odd.mo.X2,stake.H,stake.X2
1604080401,Sunday 10th April 2016,Frosinone,Inter,15.9,24.5,87.7,75.5,6.3,4.08,1.14,1.32,5.12,0
1604080402,Sunday 10th April 2016,Chievo,Carpi,47.6,49.5,57.1,50.5,2.1,2.02,1.75,1.98,1.82,0
1604080403,Sunday 10th April 2016,Sassuolo,Genoa,48.8,34.9,54.6,65.1,2.05,2.87,1.83,1.54,0,11.57
1604080404,Sunday 10th April 2016,Milan,Juventus,23.8,21.2,80,78.8,4.2,4.73,1.25,1.27,0,0
1604080405,Sunday 10th April 2016,Empoli,Fiorentina,32.8,27.8,71.4,72.2,3.05,3.59,1.4,1.39,0,1.31
1604080406,Monday 11th April 2016,Napoli,Verona,80,79.9,22.2,20.1,1.25,1.25,4.5,4.98,0,0
1604080407,Monday 11th April 2016,Sampdoria,Udinese,47.6,48.2,54.6,51.8,2.1,2.08,1.83,1.93,0.54,0
1604080408,Monday 11th April 2016,Torino,Atalanta,52.6,56.6,50,43.4,1.9,1.77,2,2.3,4.15,0
1604080409,Monday 11th April 2016,Palermo,Lazio,26.7,26.5,75.2,73.5,3.75,3.77,1.33,1.36,0,0
1604080410,Tuesday 12th April 2016,Roma,Bologna,73.5,80.7,28.2,19.3,1.36,1.24,3.55,5.19,13.61,0
1604080411,Sunday 17th April 2016,Bologna,Torino,35.7,26.6,69.4,73.4,2.8,3.76,1.44,1.36,0,6.52
1604080412,Sunday 17th April 2016,Carpi,Genoa,38.5,27.3,65.4,72.7,2.6,3.66,1.53,1.38,0,10.54
1604080413,Sunday 17th April 2016,Inter,Napoli,37,24.3,66.7,75.7,2.7,4.11,1.5,1.32,0,13.49
1604080414,Sunday 17th April 2016,Atalanta,Roma,21.1,20.4,82,79.6,4.75,4.9,1.22,1.26,0,0
1604080415,Monday 18th April 2016,Fiorentina,Sassuolo,57.1,61.9,47.6,38.1,1.75,1.62,2.1,2.62,5.52,0
1604080416,Monday 18th April 2016,Juventus,Palermo,83.3,81,22.2,19,1.2,1.23,4.5,5.27,0,0
1604080417,Monday 18th April 2016,Udinese,Chievo,52.4,44,52.4,56,1.91,2.27,1.91,1.79,0,3.8
1604080418,Monday 18th April 2016,Verona,Frosinone,52.4,48.3,52.4,51.7,1.91,2.07,1.91,1.93,0,0
1604080419,Monday 18th April 2016,Lazio,Empoli,57.1,56.4,47.6,43.6,1.75,1.77,2.1,2.3,0,0
1604080420,Monday 18th April 2016,Sampdoria,Milan,30.8,38.2,71.4,61.8,3.25,2.62,1.4,1.62,5.38,0
